,NameOfJob,NameOfBusiness,Location,JobType,Salary,Skills,WorkType,Duration,URL
151,Data Scientist Associate,JPMorganChase,Bournemouth,Data Analyst,0,"['ai', 'analytical', 'llm', 'machine learning', 'azure', 'aws', 'pytorch', 'tensorflow', 'mlops', 'nlp', 'ml', 'sql', 'python', 'degree']",On-site,Full-time,4290278716
152,Selections Analyst - Temporary (up to November 202,RNLI,United Kingdom,Data Analyst,37950.0,['excel'],Remote,Contract,4301770652
153,Data Scientist,G-Research,London Area,Data Analyst,0,"['python', 'data analysis', 'degree', 'data visualisation']",Hybrid,Full-time,4268963580
154,Data Operations Executive,TotalEnergies,Newcastle Upon Tyne,Data Analyst,24000,['excel'],On-site,Contract,4292153873
155,Graduate Digital Analyst – Watford Gap,targetjobs UK,Watford,Data Analyst,0,"['power bi', 'bi', 'analytical', 'problem solver', 'data analysis', 'tableau', 'ambitious', 'aws', 'r', 'excel', 'sql', 'python', 'degree']",On-site,Full-time,4292463239
156,Fixed-term Operational Oversight Administrator - D,MUFG Pension & Market Services,Leeds,Data Analyst,0,['excel'],Hybrid,Full-time,4301552812
157,Fixed-term Operational Oversight Administrator - D,MUFG Pension & Market Services,Leeds,Data Analyst,0,['excel'],Hybrid,Full-time,4301552812
158,"Subject Matter Expert - Data Science (Part-Time, F",RS Consult,London,Data Analyst,0,"['ai', 'passion', 'tensorflow', 'nlp', 'ml', 'degree', 'collaboration', 'masters']",Remote,Part-time,4292938426
159,Data Science Associate,Metyis,London,Data Analyst,0,"['data analysis', 'analytical', 'matplotlib', 'r', 'excel', 'sql', 'pandas', 'python', 'degree']",empty,Full-time,4230627985
160,Data Scientist - Public Sector,IBM,Manchester,Data Analyst,0,"['ai', 'data analysis', 'azure', 'aws', 'react', 'pytorch', 'tensorflow', 'nlp', 'innovation', 'ml', 'python', 'sql', 'degree']",Hybrid,Full-time,4299233448
161,Associate Data Processing Analyst,Omnicom Health,Bollington,Data Analyst,0,"['excel', 'analytical']",Hybrid,Full-time,4245549428
162,Quality Checker - Data Enrichment & Validation,Deloitte,United Kingdom,Data Analyst,0,[],Remote,Full-time,4291562980
163,Service Performance Analyst,G4S,Wideopen,Data Analyst,0,"['html', 'excel', 'mysql']",empty,Full-time,4087234983
164,Data Analyst,STRABAG,Manchester,Data Analyst,0,"['bi', 'azure', 'power bi']",empty,Full-time,4301540357
165,Data Analyst (Treasury),Revolut,United Kingdom,Data Analyst,0,"['python', 'degree', 'sql']",Remote,Full-time,4263118781
166,Data Analyst,LexisNexis Risk Solutions,London Area,Data Analyst,0,"['data analysis', 'azure', 'sql', 'innovation', 'python']",Remote,Full-time,4292752457
167,Business Insight Analyst,TopCashback UK,Stafford,Data Analyst,0,"['passion', 'tableau', 'analytical', 'excel', 'sql', 'degree']",Hybrid,Full-time,4297593004
168,Business Intelligence Analyst,"Solera Holdings, LLC.",Leeds,Data Analyst,0,"['bi', 'power bi', 'data analysis', 'tableau', 'analytical', 'sql', 'innovation', 'degree']",empty,Full-time,4290114051
